股票代码,股票简称,时间,持有券商家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
601998,中信银行,2020-03-31,3,减持,460000,0.00094002,-818405,-64.0176626342982
300070,碧水源,2020-03-31,3,减持,206200,0.00651583,-982000,-82.6460191886888
002320,海峡股份,2020-03-31,3,增持,5536160,0.55884851,5536160,100
002314,南山控股,2020-03-31,3,减持,18538663,0.68464372,-5227250,-21.9947367475426
002299,圣农发展,2020-03-31,3,增持,107000,0.00859922,74500,229.230769230769
600184,光电股份,2020-03-31,3,增持,31117800,6.11639073,7199800,30.1020152186638
600380,健康元,2020-03-31,3,增持,858599,0.04410037,568400,195.865595677449
002675,东诚药业,2020-03-31,3,减持,130900,0.01631733,-241586,-64.8577396197441
000069,华侨城A,2020-03-31,3,减持,389800,0.00475221,-310200,-44.3142857142857
601872,招商轮船,2020-03-31,3,减持,615820,0.00913663,-146600,-19.2282468980352
002078,太阳纸业,2020-03-31,3,增持,42311211,1.63251985,9883637,30.4791132386283
600981,汇鸿集团,2020-03-31,3,减持,188383006,8.40083025,-5265000,-2.71885061393299
002184,海得控制,2020-03-31,3,减持,13144235,5.47096333,-239600,-1.79021932054602
601939,建设银行,2020-03-31,3,减持,31000,1.24E-05,-13852800,-99.7767181895446
002372,伟星新材,2020-03-31,3,减持,14539898,0.9242755,-22638362,-60.8913972843269
601766,中国中车,2020-03-31,3,增持,151400,0.00052754,53300,54.3323139653415
600745,闻泰科技,2020-03-31,3,减持,25400,0.00225973,-1228346,-97.9740713031188
603369,今世缘,2020-03-31,3,减持,311400,0.02482264,-545109,-63.6431140828643
603606,东方电缆,2020-03-31,3,减持,5277615,0.80684582,-1998074,-27.4623338078359
603338,浙江鼎力,2020-03-31,3,减持,13200,0.00380651,-404157,-96.8372400606675
603868,飞科电器,2020-03-31,3,增持,2980500,0.68422865,780500,35.4772727272727
603986,兆易创新,2020-03-31,3,减持,10000,0.00311494,-126400,-92.6686217008798
603160,汇顶科技,2020-03-31,3,减持,2500,0.00054817,-800,-24.2424242424242
300545,联得装备,2020-03-31,3,增持,550600,0.38212899,550600,100
300537,广信材料,2020-03-31,3,增持,2400000,1.24334562,2400000,100
603127,昭衍新药,2020-03-31,3,减持,83667,0.0517367,-773506,-90.2391932550372
603233,大参林,2020-03-31,3,增持,1611059,0.29455296,1526896,1814.21289640341
002918,蒙娜丽莎,2020-03-31,3,增持,2140054,0.52724095,1761074,464.687846324344
002916,深南电路,2020-03-31,3,减持,3300,0.00097242,-17000,-83.743842364532
300686,智动力,2020-03-31,3,减持,517100,0.25290516,-34711,-6.2903784085493
002925,盈趣科技,2020-03-31,3,减持,6100,0.0013315,-400,-6.15384615384615
601138,工业富联,2020-03-31,3,减持,133300,0.00067137,-1311600,-90.7744480586892
300772,运达股份,2020-03-31,3,增持,4366300,1.48533814,451005,11.5190553968475
688002,睿创微纳,2020-03-31,3,减持,91678,0.0206018,-101938,-52.6495744153376
688009,中国通号,2020-03-31,3,减持,488045,0.00460862,-27223159,-98.2388170503165
688363,华熙生物,2020-03-31,3,增持,51074,0.01064041,37779,284.159458443024
601816,京沪高铁,2020-03-31,3,新进,14000,2.851E-05,14000,2.851E-05
002056,横店东磁,2020-03-31,2,增持,35100,0.00213556,35100,100
300173,福能东方,2020-03-31,2,增持,17734311,3.02540103,11224111,172.408082700992
600104,上汽集团,2020-03-31,2,减持,36600,0.00031326,-2766514,-98.6943092574901
600483,福能股份,2020-03-31,2,增持,85200,0.00549028,85200,100
000759,中百集团,2020-03-31,2,增持,10524300,1.54536971,127600,1.2273125126242
002230,科大讯飞,2020-03-31,2,减持,27000,0.00122807,-162613,-85.7604700099677
600066,宇通客车,2020-03-31,2,减持,73318,0.00331165,-84500,-53.5426884132355
000888,峨眉山A,2020-03-31,2,增持,160,3.036E-05,80,100
600019,宝钢股份,2020-03-31,2,增持,5604400,0.02516423,1386951,32.8860171160339
000425,徐工机械,2020-03-31,2,减持,85600,0.00109272,-7600,-8.15450643776824
600372,中航电子,2020-03-31,2,增持,167900,0.00954234,167900,100
600970,中材国际,2020-03-31,2,减持,277800,0.01596943,-160800,-36.6621067031464
600449,宁夏建材,2020-03-31,2,增持,2605175,0.54480934,2605175,100
002437,誉衡药业,2020-03-31,2,增持,86146050,3.91907332,4275613,5.22241379998986
000625,长安汽车,2020-03-31,2,减持,16900,0.00035189,-1045800,-98.4097111132022
000961,中南建设,2020-03-31,2,减持,73500,0.00195642,-10974195,-99.33470284978
000090,天健集团,2020-03-31,2,减持,60368971,3.23080028,-4954300,-7.58428034015627
603005,晶方科技,2020-03-31,2,增持,2301400,1.00200517,2301400,100
600566,济川药业,2020-03-31,2,减持,100600,0.01234468,-4995055,-98.0257690130121
600329,中新药业,2020-03-31,2,增持,164700,0.02131202,83100,101.838235294118
000729,燕京啤酒,2020-03-31,2,持平,2774900,0.0984517,0,0
002293,罗莱生活,2020-03-31,2,增持,40000,0.00481576,29550,282.775119617225
002310,东方园林,2020-03-31,2,增持,675000,0.02513534,675000,100
000681,视觉中国,2020-03-31,2,增持,34000,0.00485314,34000,100
600900,长江电力,2020-03-31,2,减持,12900,5.864E-05,-543100,-97.6798561151079
002013,中航机电,2020-03-31,2,减持,36640666,1.01535194,-16245272,-30.7175642795633
600027,华电国际,2020-03-31,2,持平,2820600,0.02859785,0,0
600703,三安光电,2020-03-31,2,减持,37000,0.00090721,-1435600,-97.4874371859297
002353,杰瑞股份,2020-03-31,2,减持,15300,0.00159732,-139600,-90.1226597805036
601899,紫金矿业,2020-03-31,2,增持,35515207,0.13994895,23110907,186.313673484195
002422,科伦药业,2020-03-31,2,增持,12681809,0.88081204,4322256,51.7043913711654
002327,富安娜,2020-03-31,2,减持,18794332,2.22939495,-1925000,-9.29084007148493
002258,利尔化学,2020-03-31,2,增持,110000,0.02097727,110000,100
601566,九牧王,2020-03-31,2,持平,13512820,2.35153957,0,0
600837,海通证券,2020-03-31,2,减持,35200,0.00030604,-1608100,-97.8579687214751
600674,川投能源,2020-03-31,2,增持,2919278,0.06631497,810600,38.4411465382576
600183,生益科技,2020-03-31,2,减持,72000,0.00316318,-196800,-73.2142857142857
600570,恒生电子,2020-03-31,2,减持,7400,0.00092137,-174470,-95.9311596195084
002152,广电运通,2020-03-31,2,增持,65000,0.00269822,65000,100
300197,铁汉生态,2020-03-31,2,减持,54557100,2.32520998,-5640600,-9.37012543668612
300014,亿纬锂能,2020-03-31,2,增持,35100,0.00362177,34400,4914.28571428571
600390,五矿资本,2020-03-31,2,增持,285354719,6.34394323,167128118,141.362533123996
300230,永利股份,2020-03-31,2,增持,38340000,4.69734332,4340000,12.7647058823529
002343,慈文传媒,2020-03-31,2,增持,26162843,5.50855044,5345000,25.6750903539814
002605,姚记科技,2020-03-31,2,持平,115300,0.02883329,0,0
601211,国泰君安,2020-03-31,2,减持,71200,0.00079929,-832700,-92.1230224582365
600377,宁沪高速,2020-03-31,2,减持,26127602,0.51863659,-13742834,-34.4687326719979
002055,得润电子,2020-03-31,2,增持,39500,0.00823441,39500,100
600435,北方导航,2020-03-31,2,增持,23591719,1.58405977,842800,3.70479142327598
002596,海南瑞泽,2020-03-31,2,增持,10964846,0.95291572,10964846,100
002107,沃华医药,2020-03-31,2,增持,22100,0.00612602,22100,100
000733,振华科技,2020-03-31,2,增持,13900,0.00270005,13900,100
300357,我武生物,2020-03-31,2,增持,34068,0.0065067,23500,222.369417108251
601009,南京银行,2020-03-31,2,增持,2666400,0.03143521,2302400,632.527472527472
600882,妙可蓝多,2020-03-31,2,增持,26000,0.00635142,1500,6.12244897959184
600803,新奥股份,2020-03-31,2,减持,10055000,0.81790806,-5376429,-34.840772037379
000513,丽珠集团,2020-03-31,2,增持,18500,0.00197723,12900,230.357142857143
002661,克明面业,2020-03-31,2,减持,95200,0.02895303,-2819149,-96.7334042697014
300146,汤臣倍健,2020-03-31,2,增持,65500,0.00413904,65500,100
600550,保变电气,2020-03-31,2,增持,60000,0.00325816,60000,100
